iter	Passed	Remaining
399	42147	10536
400	42284	10439
401	42384	10332
402	42496	10228
403	42626	10129
404	42765	10031
405	42929	9939
406	43058	9838
407	43208	9743
408	43263	9625
409	43334	9512
410	43448	9408
411	43594	9311
412	43674	9200
413	43766	9091
414	43891	8989
415	44017	8888
416	44153	8788
417	44253	8681
418	44432	8589
419	44569	8489
420	44680	8384
421	44832	8286
422	44946	8181
423	45128	8089
424	45232	7982
425	45326	7873
426	45435	7767
427	45491	7652
428	45643	7554
429	45770	7451
430	45897	7347
431	46040	7247
432	46107	7134
433	46197	7025
434	46294	6917
435	46361	6805
436	46459	6697
437	46584	6594
438	46686	6487
439	46743	6374
440	46871	6270
441	46966	6163
442	47082	6058
443	47214	5954
444	47298	5845
445	47390	5737
446	47547	5637
447	47686	5535
448	47786	5427
449	47947	5327
450	48135	5229
451	48298	5129
452	48395	5021
453	48473	4911
454	48573	4804
455	48666	4695
456	48765	4588
457	48888	4483
458	49001	4377
459	49055	4265
460	49155	4158
461	49265	4052
462	49424	3949
463	49505	3840
464	49620	3734
465	49775	3631
466	49868	3523
467	49986	3417
468	50100	3311
469	50236	3206
470	50357	3100
471	50463	2993
472	50552	2885
473	50684	2780
474	50813	2674
475	50877	2565
476	50968	2457
477	51087	2351
478	51251	2246
479	51362	2140
480	51458	2032
481	51589	1926
482	51730	1820
483	51865	1714
484	51995	1608
485	52086	1500
486	52236	1394
487	52325	1286
488	52440	1179
489	52603	1073
490	52719	966
491	52785	858
492	52927	751
493	53046	644
494	53137	536
495	53280	429
496	53447	322
497	53535	215
498	53690	107
499	53772	0
