claim_id,total_sales,avg_sales,transaction_count,total_posts,sales_per_post,post_engagement_ratio,opportunity_score
430,1220752663.0,110776.10372050817,11020,730477.0,1671.1719369672146,7.7024267918134965,3.2961268489756437
193,5584214.0,8564.745398773006,652,7953.0,702.15189236766,3.2362161116168333,1.2962475522516481
163,1913902.0,24537.20512820513,78,3948.0,484.7776089159068,2.2343386460650096,0.8941511990201325
39,35551795.0,14024.376725838265,2535,77543.0,458.4784571141173,2.113125928833959,0.8543755887122242
8,2430267266.0,15692.304939626783,154870,384482808.0,6.320873691704832,0.029132889198109788,0.6116531556792439
227,1499492009.0,81198.46260897818,18467,22893857.0,65.49757033076602,0.3018781187948336,0.3914024519620531
40,178879794.0,17658.41994076999,10130,1110562.0,161.07141609383356,0.7423777070885689,0.3394750178994831
152,4064889.0,18994.80841121495,214,24982.0,162.7127131534705,0.7499424406541735,0.3009223810258119
187,455753019.0,27212.384702651063,16748,6372863.0,71.51464247701543,0.32961078751810896,0.22848560031424567
438,606609483.0,31945.30954763284,18989,46626862.0,13.009871498536617,0.059962461415090845,0.14834991887927934
158,39780819.0,21433.630926724138,1856,1176444.0,33.81446035680406,0.15585075337946666,0.07128471314455509
120,34130875.0,5791.76565416596,5893,1119606.0,30.48471962458222,0.14050398764080685,0.06942948198530059
151,76361667.0,12842.527245206862,5946,3417478.0,22.344450205677987,0.10298550861552262,0.06144134108518682
81,22632049.0,5733.987585507981,3947,1539940.0,14.696708313310909,0.0677370875849831,0.035917043775927304
75,9340576.0,2131.0919461556014,4383,3023245.0,3.0895861896736783,0.014239894122531795,0.012893563095456993
228,134158.0,526.1098039215686,255,52949.0,2.533721127877769,0.011677913604608658,0.005022555086870664
148,99.0,49.5,2,103.0,0.9611650485436893,0.004430007025305184,0.0017746019160164005
437,131577.0,1134.2844827586207,116,170206.0,0.7730456035627417,0.003562965028590059,0.0015966454556004424
